iter	Passed	Remaining
196	3389	13817
197	3403	13787
198	3418	13758
199	3431	13726
200	3445	13697
201	3460	13669
202	3473	13637
203	3488	13613
204	3501	13577
205	3515	13551
206	3532	13531
207	3546	13502
208	3560	13474
209	3573	13441
210	3587	13414
211	3601	13385
212	3616	13360
213	3630	13335
214	3643	13304
215	3655	13269
216	3670	13242
217	3683	13212
218	3698	13190
219	3713	13166
220	3726	13136
221	3741	13111
222	3755	13085
223	3769	13059
224	3786	13043
225	3809	13045
226	3833	13054
227	3859	13068
228	3875	13048
229	3890	13025
230	3902	12990
231	3917	12968
232	3935	12954
233	3953	12941
234	3969	12920
235	3988	12911
236	4009	12909
237	4033	12915
238	4053	12907
239	4070	12889
240	4091	12886
241	4110	12873
242	4130	12867
243	4147	12851
244	4162	12828
245	4181	12815
246	4202	12812
247	4220	12798
248	4237	12779
249	4253	12759
250	4270	12744
251	4285	12721
252	4303	12707
253	4329	12715
254	4355	12724
255	4372	12707
256	4386	12682
257	4401	12658
258	4416	12636
259	4431	12611
260	4446	12590
261	4462	12570
262	4480	12556
263	4498	12541
264	4515	12523
265	4532	12507
266	4552	12497
267	4568	12476
268	4586	12463
269	4602	12442
270	4616	12418
271	4629	12391
272	4643	12365
273	4662	12353
274	4683	12347
275	4700	12329
276	4716	12310
277	4729	12283
278	4744	12260
279	4763	12250
280	4783	12239
281	4804	12232
282	4826	12227
283	4849	12225
284	4866	12208
285	4882	12188
286	4897	12167
287	4913	12148
288	4928	12124
289	4944	12106
290	4955	12074
291	4979	12073
292	5001	12068
293	5017	12049
294	5039	12042
295	5060	12036
296	5085	12036
297	5101	12017
298	5117	11997
299	5131	11974
300	5148	11956
301	5164	11937
302	5180	11916
303	5198	11900
304	5214	11882
305	5226	11854
306	5243	11835
307	5265	11830
308	5285	11820
309	5307	11813
310	5325	11798
311	5342	11781
312	5357	11760
313	5374	11742
314	5389	11720
315	5408	11707
316	5424	11687
317	5438	11664
318	5455	11647
319	5469	11622
320	5485	11603
321	5499	11579
322	5515	11560
323	5529	11536
324	5542	11510
325	5555	11486
326	5569	11462
327	5585	11443
328	5594	11409
329	5609	11389
330	5625	11369
331	5639	11346
332	5652	11321
333	5666	11298
334	5679	11273
335	5694	11253
336	5706	11227
337	5725	11213
338	5745	11202
339	5764	11190
340	5787	11184
341	5803	11165
342	5821	11150
343	5838	11134
344	5851	11109
345	5865	11086
346	5878	11062
347	5892	11039
348	5907	11019
349	5923	11000
350	5942	10987
351	5956	10966
352	5973	10947
353	5988	10927
354	6004	10909
355	6028	10905
356	6044	10886
357	6056	10860
358	6070	10838
359	6083	10814
360	6098	10794
361	6118	10784
362	6144	10782
363	6167	10776
364	6206	10798
365	6258	10840
366	6306	10877
367	6335	10881
368	6359	10874
369	6385	10873
370	6398	10848
371	6414	10828
372	6427	10804
373	6439	10779
374	6457	10762
375	6476	10748
376	6491	10727
377	6506	10706
378	6519	10682
379	6532	10658
380	6558	10654
381	6578	10642
382	6631	10682
383	6657	10678
384	6680	10671
385	6713	10679
386	6735	10669
387	6758	10659
388	6775	10642
389	6793	10625
390	6810	10608
391	6822	10582
392	6837	10560
393	6850	10536
394	6862	10510
395	6874	10486
396	6888	10463
397	6903	10441
398	6919	10422
399	6937	10405
400	6953	10386
401	6969	10367
402	6985	10348
403	6999	10325
404	7014	10305
